ASP,OrderingCode,Productno,Denomination,Qty,Comments,BOMFilter,Build Type,,,,,
TEF,1E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3LC6102OAB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62,1,,,B1-B3,,,1E3LC6102OAB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62
Ericsson,E3LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E3LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E3LC6201IDB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E3LC6201IDB1B3UG,RPM777526/02000,ET Power cable
Ericsson,E3LC6201IDB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E3LC6201IDB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,E3LC6201IDB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E3LC6201IDB1B3UG,SXK1253086/1,Cable guide
TEF,E3LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,E3LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E3LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E3LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3LC6201IDB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62,2,,,B1-B3,,,E3LC6201IDB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62
Ericsson,E3LC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,6,,,B1-B3,,,E3LC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E3LC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E3LC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE
Ericsson,E3LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E3LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E3LC6102OAB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E3LC6102OAB1B3UG,RPM777526/02000,ET Power cable
Ericsson,E3LC6102OAB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E3LC6102OAB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,E3LC6102OAB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E3LC6102OAB1B3UG,SXK1253086/1,Cable guide
TEF,E3LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,E3LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E3LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3LC6102OAB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62,2,,,B1-B3,,,E3LC6102OAB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62
Ericsson,E3LC6102OAB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,6,,,B1-B3,,,E3LC6102OAB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E3LC6102OAB1B3UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E3LC6102OAB1B3UG,RPM777279/00650,SIGNAL CABLE
Ericsson,1E2LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E2LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E2LC6201IDB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E2LC6201IDB1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E2LC6201IDB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E2LC6201IDB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E2LC6201IDB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E2LC6201IDB1B3UG,SXK1253086/1,Cable guide
TEF,1E2LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B1-B3,,,1E2LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E2LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B1-B3,,,1E2LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6201IDB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,2,,,B1-B3,,,1E2LC6201IDB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,1E2LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E2LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E2LC6102OAB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E2LC6102OAB1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E2LC6102OAB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E2LC6102OAB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E2LC6102OAB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E2LC6102OAB1B3UG,SXK1253086/1,Cable guide
TEF,1E2LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B1-B3,,,1E2LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E2LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B1-B3,,,1E2LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6102OAB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,2,,,B1-B3,,,1E2LC6102OAB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,1E2LC6201IDL18B1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E2LC6201IDL18B1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E2LC6201IDL18B1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E2LC6201IDL18B1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,SXK1253086/1,Cable guide
TEF,1E2LC6201IDL18B1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E2LC6201IDL18B1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E2LC6201IDL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6201IDL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6201IDL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,1E2LC6201IDL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E2LC6201IDL18B1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,2,,,B1-B3,,,1E2LC6201IDL18B1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,E2LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E2LC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E2LC6201IDB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E2LC6201IDB1B3UG,RPM777526/02000,ET Power cable
Ericsson,E2LC6201IDB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E2LC6201IDB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,E2LC6201IDB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E2LC6201IDB1B3UG,SXK1253086/1,Cable guide
TEF,E2LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B1-B3,,,E2LC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E2LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B1-B3,,,E2LC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,E2LC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E2LC6201IDB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,1,,,B1-B3,,,E2LC6201IDB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,E2LC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,4,,,B1-B3,,,E2LC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E2LC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E2LC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE
Ericsson,E2LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E2LC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E2LC6102OAB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E2LC6102OAB1B3UG,RPM777526/02000,ET Power cable
Ericsson,E2LC6102OAB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E2LC6102OAB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,E2LC6102OAB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E2LC6102OAB1B3UG,SXK1253086/1,Cable guide
TEF,E2LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B1-B3,,,E2LC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E2LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B1-B3,,,E2LC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B1-B3,,,E2LC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E2LC6102OAB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,1,,,B1-B3,,,E2LC6102OAB1B3UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,E2LC6102OAB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,4,,,B1-B3,,,E2LC6102OAB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E2LC6102OAB1B3UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E2LC6102OAB1B3UG,RPM777279/00650,SIGNAL CABLE
Ericsson,E3UL21UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E3UL21UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E3UL21UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E3UL21UG,RPM777526/02000,ET Power cable
Ericsson,E3UL21UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E3UL21UG,RPM777567/05000,Grounding Cable
Ericsson,E3UL21UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E3UL21UG,SXK1253086/1,Cable guide
Ericsson,E3UL21UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,12,,,B1-B3,,,E3UL21UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E3UL21UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31,4,,,B1-B3,,,E3UL21UG,SXA1342193/2,MECHANICAL COMPONENT/Dummy 31
Ericsson,E3UL21UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,4,,,B1-B3,,,E3UL21UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
Ericsson,E3UL21UG,TSR3913072/2000,"Optical patch cord, SM, LCD - LCD, 2 m",2,,,B1-B3,,,E3UL21UG,TSR3913072/2000,"Optical patch cord, SM, LCD - LCD, 2 m"
Ericsson,E3UL21UG,RPM77701/02000,Signal cable,2,,,B1-B3,,,E3UL21UG,RPM77701/02000,Signal cable
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1253086/1,Cable guide,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1253086/1,Cable guide
Ericsson,1E3SC6102OA3PPB1B3UG,KDV127621/11,Baseband 6630 with fan,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6102OA3PPB1B3UG,RPM777526/02000,ET Power cable,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E3SC6102OA3PPB1B3UG,RPM777567/05000,Grounding Cable,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6102OA3PPB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
Ericsson,1E3SC6102OA3PPB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
Ericsson,1E3SC6102OA3PPB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPB1B3UG,NFT30459/2,"Surge Protection Device, SPD -48V",10,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,NFT30459/2,"Surge Protection Device, SPD -48V"
Ericsson,1E3SC6102OA3PPB1B3UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE,10,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,BMG980336/7,PDU 01 04; Power Distribution Unit,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BMG980336/7,PDU 01 04; Power Distribution Unit
Ericsson,1E3SC6102OA3PPB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit,4,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit
Ericsson,1E3SC6102OA3PPB1B3UG,BGK90118/2,CONNECTION PANEL/SHU 02 01; Support HUB,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BGK90118/2,CONNECTION PANEL/SHU 02 01; Support HUB
Ericsson,1E3SC6102OA3PPB1B3UG,BMG980336/7,DISTR. EQUIPMENT/PDU 01 04; Power Distribution Unit,2,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BMG980336/7,DISTR. EQUIPMENT/PDU 01 04; Power Distribution Unit
Ericsson,1E3SC6102OA3PPB1B3UG,BMG980410/1,DISTR. EQUIPMENT/BFU 01 03; Battery Fuse,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BMG980410/1,DISTR. EQUIPMENT/BFU 01 03; Battery Fuse
Ericsson,1E3SC6102OA3PPB1B3UG,BMG980390/10,MAINS DISTR. UNIT/Optional AC-outlet,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BMG980390/10,MAINS DISTR. UNIT/Optional AC-outlet
Ericsson,1E3SC6102OA3PPB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit
Ericsson,1E3SC6102OA3PPB1B3UG,NTM2013977/1,SET OF MATERIALS/Screw set for expansion,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,NTM2013977/1,SET OF MATERIALS/Screw set for expansion
Ericsson,1E3SC6102OA3PPB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,RPM77701/00700,CABLE WITH CONNECTOR/SIGNAL CABLE,2,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM77701/00700,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,RPM77701/01000,CABLE WITH CONNECTOR/SIGNAL CABLE,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM77701/01000,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,RPM777270/01000,CABLE WITH CONNECTOR/POWER CABLE,3,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,RPM777270/01000,CABLE WITH CONNECTOR/POWER CABLE
Ericsson,1E3SC6102OA3PPB1B3UG,SXA1344414/1,MECHANICAL COMPONENT/Air outlet plate,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXA1344414/1,MECHANICAL COMPONENT/Air outlet plate
Ericsson,1E3SC6102OA3PPB1B3UG,SXA2153864/1,MECHANICAL COMPONENT/Guide rail,2,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXA2153864/1,MECHANICAL COMPONENT/Guide rail
Ericsson,1E3SC6102OA3PPB1B3UG,SXA2155276/1,MECHANICAL COMPONENT/PLATE 19 Dummy (1U),1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXA2155276/1,MECHANICAL COMPONENT/PLATE 19 Dummy (1U)
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1091052/1,ASSEMBLED PARTS/SHU holder,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1091052/1,ASSEMBLED PARTS/SHU holder
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1091102/1,ASSEMBLED PARTS/폱 dummy (19),1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1091102/1,ASSEMBLED PARTS/폱 dummy (19)
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1091601/1,ASSEMBLED PARTS/Airplate Low flow,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1091601/1,ASSEMBLED PARTS/Airplate Low flow
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1091601/2,ASSEMBLED PARTS/Airplate Medium flow,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1091601/2,ASSEMBLED PARTS/Airplate Medium flow
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1098115/1,ASSEMBLED PARTS/Power subrack,1,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1098115/1,ASSEMBLED PARTS/Power subrack
Ericsson,1E3SC6102OA3PPB1B3UG,SXK1098257/1,DUMMY/Dummy unit (Power Subrack),4,,,B1-B3,,,1E3SC6102OA3PPB1B3UG,SXK1098257/1,DUMMY/Dummy unit (Power Subrack)
Ericsson,1E3SC6102OA3PPL18B1B3UG,SXK1253086/1,Cable guide,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,SXK1253086/1,Cable guide
Ericsson,1E3SC6102OA3PPL18B1B3UG,KDV127621/11,Baseband 6630 with fan,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6102OA3PPL18B1B3UG,RPM777526/02000,ET Power cable,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E3SC6102OA3PPL18B1B3UG,RPM777567/05000,Grounding Cable,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6102OA3PPL18B1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,6,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
Ericsson,1E3SC6102OA3PPL18B1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),6,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OA3PPL18B1B3UG,KRC161777/1,RADIO UNIT/Radio 4480B1B3,3,,,B1-B3,,,1E3SC6102OA3PPL18B1B3UG,KRC161777/1,RADIO UNIT/Radio 4480B1B3
